Language,Compressions
am,0.7134128814935684
de,0.8568334627151489
el,0.7217551511526108
fr,0.8543947517871857
hy,0.6559917163848877
ja,0.8829145807027817
kk,0.6542478090524674
ko,0.8451447641849518
pl,0.867509126663208
ru,0.6665666168928146
sn,0.8520280319452286
ta,0.49008830696344374
te,0.5316446787118911
vi,0.9267982125282288
AVG,0.7513807207984584
AVG LR,0.6598812251005854
