Language,Time
am,0.04590096910794576
de,0.05307366092999776
el,0.05709288954734802
fr,0.0549432901541392
hy,0.04052088816960653
ja,0.0408988106250763
kk,0.06382582902908325
ko,0.056423505942026775
pl,0.0431764280796051
ru,0.0454723850886027
sn,0.054634517828623455
ta,0.05614571849505107
te,0.05591772397359212
vi,0.05587335387865702
AVG,0.051707140774953926
AVG LR,0.05343407659303574
